F1,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year
0,Mohamed Salah,Midfielder,Liverpool,38,3374,15,40,136,55,476,0,18,0,344,0,0,29,14.5,2025
1,Mohamed Salah,Midfielder,Liverpool,28,2531,8,30,0,24,346,0,12,0,211,0,0,18,14.5,2024
2,Mohamed Salah,Midfielder,Liverpool,37,3290,13,45,0,23,365.6,0,13,0,239,0,0,19,14.5,2023
3,Bryan Mbeumo,Midfielder,Man Utd,38,3415,9,55,273,29,340.8,0,9,0,236,0,0,20,8,2025
4,Bryan Mbeumo,Midfielder,Man Utd,22,1957,5,31,0,12,170.1,0,7,0,127,0,0,9,8,2024
5,Bryan Mbeumo,Midfielder,Man Utd,36,2905,10,39,0,19,239.5,0,9,0,150,0,0,9,8,2023
6,Cole Palmer,Midfielder,Chelsea,36,3193,10,41,171,35,338,0,10,0,214,0,0,15,10.5,2025
7,Cole Palmer,Midfielder,Chelsea,29,2617,7,46,0,32,327.8,0,13,0,244,0,0,22,10.5,2024
8,Cole Palmer,Midfielder,Chelsea,2,358,1,4,0,0,31.9,0,1,0,19,0,0,0,10.5,2023
9,Alexander Isak,Forward,Newcastle,34,2758,12,41,89,36,292.7,0,6,0,211,0,0,23,10.5,2025
10,Alexander Isak,Forward,Newcastle,27,2253,7,41,0,23,229.3,0,4,0,172,0,0,21,10.5,2024
11,Alexander Isak,Forward,Newcastle,17,1520,4,20,0,18,145.2,0,2,0,100,0,0,10,10.5,2023
12,Chris Wood,Forward,Nott'm Forest,35,2958,15,37,96,41,205.6,0,3,0,200,0,0,20,7.5,2025
13,Chris Wood,Forward,Nott'm Forest,20,1801,2,34,0,22,167.4,0,1,0,131,0,0,14,7.5,2024
14,Chris Wood,Forward,Nott'm Forest,9,807,4,9,0,7,39.3,0,0,0,53,0,0,3,7.5,2023
15,Jarrod Bowen,Forward,West Ham,34,2974,8,50,211,21,271.9,0,11,0,193,0,0,13,8,2025
16,Jarrod Bowen,Forward,West Ham,34,3020,5,63,0,14,247.8,0,6,0,182,0,0,16,8,2024
17,Jarrod Bowen,Forward,West Ham,36,3232,9,50,0,9,241.8,0,9,0,145,0,0,6,8,2023
18,Ollie Watkins,Forward,Aston Villa,31,2593,10,40,78,32,223.8,0,8,0,186,0,0,16,9,2025
19,Ollie Watkins,Forward,Aston Villa,37,3222,7,56,0,29,302.8,0,18,0,228,0,0,19,9,2024
